main: x = 461952 y = 116298
gcd [0]: u = 461952 v = 116298
gcd [1]: u = 345654 v = 116298
gcd [2]: u = 229356 v = 116298
gcd [3]: u = 113058 v = 116298
gcd [4]: u = 3240 v = 113058
gcd [5]: u = 109818 v = 3240
gcd [6]: u = 106578 v = 3240
gcd [7]: u = 103338 v = 3240
gcd [8]: u = 100098 v = 3240
gcd [9]: u = 96858 v = 3240
gcd [10]: u = 93618 v = 3240
gcd [11]: u = 90378 v = 3240
gcd [12]: u = 87138 v = 3240
gcd [13]: u = 83898 v = 3240
gcd [14]: u = 80658 v = 3240
gcd [15]: u = 77418 v = 3240
gcd [16]: u = 74178 v = 3240
gcd [17]: u = 70938 v = 3240
gcd [18]: u = 67698 v = 3240
gcd [19]: u = 64458 v = 3240
gcd [20]: u = 61218 v = 3240
gcd [21]: u = 57978 v = 3240
gcd [22]: u = 54738 v = 3240
gcd [23]: u = 51498 v = 3240
gcd [24]: u = 48258 v = 3240
gcd [25]: u = 45018 v = 3240
gcd [26]: u = 41778 v = 3240
gcd [27]: u = 38538 v = 3240
gcd [28]: u = 35298 v = 3240
gcd [29]: u = 32058 v = 3240
gcd [30]: u = 28818 v = 3240
gcd [31]: u = 25578 v = 3240
gcd [32]: u = 22338 v = 3240
gcd [33]: u = 19098 v = 3240
gcd [34]: u = 15858 v = 3240
gcd [35]: u = 12618 v = 3240
gcd [36]: u = 9378 v = 3240
gcd [37]: u = 6138 v = 3240
gcd [38]: u = 2898 v = 3240
gcd [39]: u = 342 v = 2898
gcd [40]: u = 2556 v = 342
gcd [41]: u = 2214 v = 342
gcd [42]: u = 1872 v = 342
gcd [43]: u = 1530 v = 342
gcd [44]: u = 1188 v = 342
gcd [45]: u = 846 v = 342
gcd [46]: u = 504 v = 342
gcd [47]: u = 162 v = 342
gcd [48]: u = 180 v = 162
gcd [49]: u = 18 v = 162
gcd [50]: u = 144 v = 18
gcd [51]: u = 126 v = 18
gcd [52]: u = 108 v = 18
gcd [53]: u = 90 v = 18
gcd [54]: u = 72 v = 18
gcd [55]: u = 54 v = 18
gcd [56]: u = 36 v = 18
gcd [57]: u = 18 v = 18
